CustomerID,Name,Gender,Age,City,State,SignupDate,Segment,Acquisition
C000001,Aditi Sharma,Male,46,Guwahati,Guwahati,2023-12-19,Consumer,Organic Search
C000002,Aditya Rao,Male,18,Ahmedabad,Ahmedabad,2023-12-29,Consumer,Organic Search
C000003,Arjun Reddy,Male,20,Mumbai,Mumbai,2025-02-11,Consumer,Referral
C000004,Sanya Kumar,Female,26,Mysuru,Mysuru,2026-04-27,Small Business,Paid Search
C000005,Aarav Rao,Female,30,Chennai,Chennai,2024-05-25,Consumer,Email
C000006,Reyansh Joshi,Female,46,Guwahati,Guwahati,2026-06-08,Small Business,Affiliate
C000007,Vikram Nair,Male,37,Ahmedabad,Ahmedabad,2025-08-02,Home Office,Organic Search
C000008,Unknown,Male,28,Bhubaneswar,Bhubaneswar,2026-05-18,Consumer,Organic Search
C000009,Tanya Kumar,Male,18,Ahmedabad,Ahmedabad,2024-06-11,Consumer,Paid Search
C000010,Vikram Shah,Male,43,Guwahati,Guwahati,2026-04-16,Consumer,Paid Search
C000011,Krishna Rao,Male,45,Gurugram,Gurugram,2023-01-15,Home Office,Social Media
C000012,Sanya Gupta,Male,46,Mumbai,Mumbai,2023-02-06,Corporate,Social Media
C000013,Vikram Iyer,Female,41,Jaipur,Jaipur,2022-12-09,Consumer,Paid Search
C000014,Kavya Malhotra,Female,37,Bhopal,Bhopal,2023-05-22,Small Business,Marketplace
C000015,Krishna Shah,Female,30,Gurugram,Gurugram,2023-02-11,Consumer,Paid Search
C000016,Kavya Rao,Female,47,Mysuru,Mysuru,2024-06-11,Corporate,Organic Search
C000017,Manish Malhotra,Male,47,Coimbatore,Coimbatore,2024-12-31,Consumer,Social Media
C000018,Neha Kumar,Female,44,Coimbatore,Coimbatore,2023-05-26,Corporate,Organic Search
C000019,Diya Kumar,Male,25,Lucknow,Lucknow,2025-02-06,Home Office,Social Media
C000020,Vivaan Rao,Male,46,Guwahati,Guwahati,2022-03-29,Consumer,Marketplace
C000021,Nikhil Joshi,Male,50,Bhopal,Bhopal,2023-05-11,Consumer,Referral
C000022,Meera Singh,Male,24,Chandigarh,Chandigarh,2023-06-26,Home Office,Email
C000023,Manish Joshi,Male,37,Visakhapatnam,Visakhapatnam,2023-06-24,Home Office,Social Media
C000024,Diya Rao,Female,34,Jaipur,Jaipur,2024-04-14,Home Office,Email
C000025,Reyansh Bose,Female,41,Noida,Noida,2025-07-30,Corporate,Marketplace
C000026,Meera Mehta,Female,44,Patna,Patna,2025-12-03,Corporate,Social Media
C000027,Kabir Patel,Male,50,Jaipur,Jaipur,2024-10-10,Consumer,Marketplace
C000028,Karan Reddy,Male,36,Indore,Indore,2022-11-28,Home Office,Paid Search
C000029,Rahul Iyer,Female,27,Chandigarh,Chandigarh,2024-05-22,Consumer,Organic Search
C000030,Neha Bose,Female,33,Lucknow,Lucknow,2024-08-07,Small Business,Organic Search
C000031,Aarav Singh,Male,18,Lucknow,Lucknow,2022-09-15,Consumer,Affiliate
C000032,Aditi Patel,Male,18,Lucknow,Lucknow,2023-11-18,Consumer,Paid Search
C000033,Arjun Joshi,Male,23,Nagpur,Nagpur,2026-06-25,Consumer,Marketplace
C000034,Krishna Kumar,Male,21,Hyderabad,Hyderabad,2023-09-30,Corporate,Referral
C000035,Meera Reddy,Female,40,Mumbai,Mumbai,2025-12-14,Consumer,Organic Search
C000036,Kabir Malhotra,Male,25,Guwahati,Guwahati,2022-03-01,Consumer,Organic Search
C000037,Varun Chopra,Female,33,Surat,Surat,2026-06-05,Consumer,Social Media
C000038,Pooja Kumar,Female,26,Hyderabad,Hyderabad,2024-10-20,Consumer,Marketplace
C000039,Nisha Chopra,Female,31,Patna,Patna,2023-12-18,Consumer,Affiliate
C000040,Sanya Patel,Male,35,Visakhapatnam,Visakhapatnam,2025-12-06,Consumer,Paid Search
C000041,Rohan Kumar,Male,39,Ahmedabad,Ahmedabad,2026-04-14,Home Office,Paid Search
C000042,Neha Das,Female,25,Kolkata,Kolkata,2024-09-23,Consumer,Social Media
C000043,Ananya Mehta,Female,24,Lucknow,Lucknow,2025-12-12,Corporate,Affiliate
C000044,Sneha Malhotra,Male,28,Pune,Pune,2024-09-28,Consumer,Referral
C000045,Ishaan Chopra,Female,57,Chennai,Chennai,,Consumer,Paid Search
C000046,Sanya Sharma,Female,23,Gurugram,Gurugram,2023-11-21,Consumer,Marketplace
C000047,Vikram Chopra,Male,36,Kolkata,Kolkata,2022-12-22,Consumer,Paid Search
C000048,Aditi Patel,Female,40,Bhubaneswar,Bhubaneswar,2023-07-17,Consumer,Social Media
C000049,Ananya Malhotra,Female,38,Noida,Noida,2025-12-17,Corporate,Paid Search
C000050,Tanya Kapoor,Female,35,Bengaluru,Bengaluru,2024-06-11,Home Office,Social Media
C000051,Aditi Das,Male,36,Bhopal,Bhopal,2024-03-27,Consumer,Organic Search
C000052,Vivaan Nair,Female,30,Kochi,Kochi,2025-04-18,Small Business,Referral
C000053,Meera Nair,Male,32,Visakhapatnam,Visakhapatnam,2024-07-22,Consumer,Organic Search
C000054,Nikhil Nair,Female,38,Bhubaneswar,Bhubaneswar,2025-10-22,Consumer,Social Media
C000055,Priya Yadav,Male,20,Gurugram,Gurugram,2026-01-22,Corporate,Referral
C000056,Karan Sharma,Female,29,Ahmedabad,Ahmedabad,2024-12-23,Consumer,Social Media
C000057,Riya Iyer,Male,31,Jaipur,Jaipur,2025-10-19,Consumer,Organic Search
C000058,Krishna Reddy,Female,22,Patna,Patna,2024-04-25,Consumer,Organic Search
C000059,Karan Kumar,Female,25,Lucknow,Lucknow,2022-09-06,Corporate,Email
C000060,Manish Malhotra,Non-Binary,41,Kochi,Kochi,2022-07-28,Small Business,Social Media
C000061,Meera Gupta,Female,45,Surat,Surat,2025-07-14,Consumer,Affiliate
C000062,Diya Gupta,Male,32,Pune,Pune,2025-10-10,Consumer,Social Media
C000063,Aditya Gupta,Female,46,Mumbai,Mumbai,2022-05-24,Consumer,Paid Search
C000064,Pooja Gupta,Female,40,Delhi,Delhi,2022-02-05,Corporate,Social Media
C000065,Priya Bose,Male,26,Jaipur,Jaipur,2024-11-26,Consumer,Affiliate
C000066,Riya Chopra,Female,25,Noida,Noida,2026-04-07,Corporate,Referral
C000067,Krishna Yadav,Male,38,Patna,Patna,2024-02-23,Consumer,Affiliate
C000068,Vivaan Chopra,Female,25,Mumbai,Mumbai,2025-01-17,Consumer,Paid Search
C000069,Rohan Gupta,Female,57,Pune,Pune,2022-10-22,Corporate,Referral
C000070,Reyansh Patel,Male,48,Noida,Noida,2024-04-24,Consumer,Organic Search
C000071,Kavya Joshi,Male,40,Lucknow,Lucknow,2022-09-05,Consumer,Paid Search
C000072,Sanya Das,Male,41,Ahmedabad,Ahmedabad,2022-08-23,Corporate,Paid Search
C000073,Diya Yadav,Male,58,Patna,Patna,2022-01-08,Consumer,Paid Search
C000074,Aditya Nair,Male,38,Coimbatore,Coimbatore,2026-03-15,Consumer,Email
C000075,Kabir Verma,Male,38,Patna,Patna,2023-04-05,Consumer,Social Media
C000076,Vivaan Reddy,Male,41,Chandigarh,Chandigarh,2024-12-22,Consumer,Paid Search
C000077,Meera Rao,Male,50,Bhubaneswar,Bhubaneswar,2022-07-26,Home Office,Organic Search
C000078,Varun Sharma,Female,32,Mumbai,Mumbai,2024-07-31,Consumer,Marketplace
C000079,Isha Kumar,Male,28,Coimbatore,Coimbatore,2024-04-11,Consumer,Affiliate
C000080,Neha Kapoor,Female,40,Pune,Pune,2022-05-18,Consumer,Referral
C000081,Ishaan Chopra,Female,54,Nagpur,Nagpur,2022-03-02,Consumer,Marketplace
C000082,Vivaan Joshi,Unknown,40,Guwahati,Guwahati,2025-06-21,Consumer,Referral
C000083,Pooja Das,Female,32,Kolkata,Kolkata,2024-12-27,Corporate,Paid Search
C000084,Pooja Bose,Female,29,Guwahati,Guwahati,2023-10-27,Consumer,Organic Search
C000085,Varun Nair,Male,40,Visakhapatnam,Visakhapatnam,2023-12-20,Consumer,Organic Search
C000086,Nikhil Kumar,Male,32,Pune,Pune,2023-02-17,Small Business,Email
C000087,Karan Mehta,Female,50,Chandigarh,Chandigarh,2023-03-10,Small Business,Organic Search
C000088,Nikhil Singh,Female,41,Bhopal,Bhopal,2026-03-22,Consumer,Social Media
C000089,Varun Nair,Male,25,Mumbai,Mumbai,2023-11-19,Consumer,Social Media
C000090,Varun Verma,Female,24,Visakhapatnam,Visakhapatnam,2024-08-08,Home Office,Email
C000091,Varun Joshi,Female,32,Jaipur,Jaipur,2022-03-06,Consumer,Organic Search
C000092,Nisha Rao,Male,18,Gurugram,Gurugram,2024-07-15,Corporate,Social Media
C000093,Ishaan Reddy,Female,33,Bengaluru,Bengaluru,2025-08-18,Consumer,Marketplace
C000094,Manish Das,Male,25,Coimbatore,Coimbatore,2024-12-03,Consumer,Social Media
C000095,Neha Kapoor,Male,33,Kochi,Kochi,2025-05-14,Consumer,Email
C000096,Meera Chopra,Male,45,Bhubaneswar,Bhubaneswar,2023-12-25,Consumer,Referral
C000097,Riya Malhotra,Male,25,Patna,Patna,2024-05-24,Corporate,Organic Search
C000098,Rahul Patel,Female,35,Pune,Pune,2022-04-11,Consumer,Paid Search
C000099,Priya Nair,Female,27,Mysuru,Mysuru,2024-11-08,Consumer,Paid Search
C000100,Ishaan Bose,Male,36,Guwahati,Guwahati,2024-12-01,Consumer,Social Media
C000101,Priya Nair,Male,34,Bhopal,Bhopal,2022-08-18,Small Business,Paid Search
C000102,Riya Gupta,Female,32,Chandigarh,Chandigarh,2026-06-15,Consumer,Organic Search
C000103,Rohan Sharma,Male,38,Bhopal,Bhopal,2023-12-12,Corporate,Organic Search
C000104,Krishna Sharma,Female,35,Chennai,Chennai,2024-07-03,Consumer,Social Media
C000105,Ananya Singh,Male,34,Gurugram,Gurugram,2025-10-03,Consumer,Marketplace
C000106,Riya Gupta,Non-Binary,18,Delhi,Delhi,2022-12-21,Consumer,Email
C000107,Ananya Kapoor,Female,25,Bengaluru,Bengaluru,2024-05-18,Consumer,Affiliate
C000108,Neha Yadav,Female,23,Mumbai,Mumbai,2023-12-02,Small Business,Paid Search
C000109,Neha Iyer,Male,40,Visakhapatnam,Visakhapatnam,2022-01-07,Consumer,Affiliate
